os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,354170772
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,455060581
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,555188879
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,655305758
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,755422287
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,859239386
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,959354975
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1059472804
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1159582612
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1259700201
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1359811679
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1459910558
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1561566817
4.94807e-06,2.02099e+08,97.438,0,82,50,0,0,1.35698,0,8.51146,1663110076
0.663965,1506.1,97.3874,2,82,50,800,875,1.81956,34,8.34094,1765901246
83.3526,11.9972,97.3874,2,82,50,800,875,1.81956,34,8.34094,1866003274
63.9286,15.6425,97.3874,2,82,50,800,875,1.81956,34,8.34094,1966120443
63.9286,15.6425,97.3874,2,82,50,800,875,1.81956,34,8.34094,2066228062
63.9286,15.6425,97.3874,2,82,50,800,875,1.81956,34,8.34094,2166346150
62.6503,15.9616,97.3874,2,82,50,800,875,1.81956,34,8.34094,2266455519
137.747,7.25968,79.9348,14,82,51,953,875,2.16507,50,6.38223,2366705818
59.8759,16.7012,79.9348,14,82,51,953,875,2.16507,50,6.38223,2466806796
60.0683,16.6477,79.9348,14,82,51,953,875,2.16507,50,6.38223,2566896395
61.361,16.297,79.9348,14,82,51,953,875,2.16507,50,6.38223,2666981233
60.0945,16.6405,79.9348,14,82,51,953,875,2.16507,50,6.38223,2767069032
59.8557,16.7068,38.1601,25,81,50,930,875,2.17812,43,5.44879,2867113351
59.9831,16.6714,38.1601,25,81,50,930,875,2.17812,43,5.44879,2967199059
60.1721,16.619,38.1601,25,81,50,930,875,2.17812,43,5.44879,3067280748
60.9127,16.4169,38.1601,25,81,50,930,875,2.17812,43,5.44879,3167366417
60.6822,16.4793,38.1601,25,81,50,930,875,2.17812,43,5.44879,3267459195
58.848,16.9929,26.9492,42,80,51,1031,875,2.15235,48,5.11253,3367548334
58.7599,17.0184,26.9492,42,80,51,1031,875,2.15235,48,5.11253,3467636573
60.3442,16.5716,26.9492,42,80,51,1031,875,2.15235,48,5.11253,3567738711
58.6439,17.0521,26.9492,42,80,51,1031,875,2.15235,48,5.11253,3667826030
59.3453,16.8505,26.9492,42,80,51,1031,875,2.15235,48,5.11253,3767914378
60.0325,16.6577,26.2436,42,80,51,1040,875,2.1376,48,5.77486,3868007207
63.2905,15.8002,26.2436,42,80,51,1040,875,2.1376,48,5.77486,3968104216
61.5483,16.2474,26.2436,42,80,51,1040,875,2.1376,48,5.77486,4068224144
60.675,16.4812,26.2436,42,80,51,1040,875,2.1376,48,5.77486,4168328083
60.6729,16.4818,26.2436,42,80,51,1040,875,2.1376,48,5.77486,4268425502
58.7076,17.0336,41.4075,42,79,51,1040,875,2.1376,47,7.19225,4368513270
